
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1KX18, RAM64X18, GLOBAL, IO
. MSS_top, 337, 720, 79, 0, 0, 0, 0, 2, 22
.	. MSS_top_sb, 337, 720, 79, 0, 0, 0, 0, 2, 4
.	.	. COREI2C, 96, 361, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL, 88, 350, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3, 0, 56, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 54, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO, 12, 14, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. MSS_top_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. MSS_top_sb_CoreUARTapb_0_0_CoreUARTapb, 111, 132, 14, 0, 0, 0, 0, 0, 0
.	.	.	. MSS_top_sb_CoreUARTapb_0_0_COREUART, 87, 103, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_top_sb_CoreUARTapb_0_0_Clock_gen, 19, 11, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_top_sb_CoreUARTapb_0_0_Rx_async, 38, 57, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_top_sb_CoreUARTapb_0_0_Tx_async, 21, 29, 0, 0, 0, 0, 0, 0, 0
.	.	. MSS_top_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. MSS_top_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. corepwm, 109, 155, 65, 0, 0, 0, 0, 0, 0
.	.	.	. pwm_gen, 4, 39, 32, 0, 0, 0, 0, 0, 0
.	.	.	. reg_if, 69, 81, 0, 0, 0, 0, 0, 0, 0
.	.	.	. timebase, 32, 32, 33, 0, 0, 0, 0, 0, 0
